// Reference=MNI
// (Healthy Control=HC, Anorexia Nervosa=AN)
// Via, 2016: self>other(HC, 20 females,mean=28.15,SD=8.62)
// Standardized name for contrast: self>stranger
// Subjects=20
62	–22	26
56	–34	50
50	–42	50
44	–42	46
36	–60	50
28	–66	42
44	–60	–10
–64	–32	28
42	10	–8
30	18	–2
6	30	–4
36	–90	12
46	–66	–8
46	–80	0
–36	14	–4
–34	22	0

// Via, 2016: self>other(AN, 20female,mean=28.4,SD=9.3)
// Standardized name for contrast: self>stranger
// Subjects=20
46	–42	52
56	–34	50
–60	–34	26
62	–22	26
60	–30	26
46	–64	–14
44	–62	–10
–36	–50	46
–30	–54	52
46	–66	–8
42	–76	–6
40	16	–10
48	10	0
30	18	–2
–54	–38	42
–52	–42	50
16	–64	48
16	–72	40
44	42	16
32	–86	12
38	–82	8
4	26	30
34	–34	–16
30	–40	–4
–34	14	0
–8	–34	36
–12	–42	40
0	–36	44

// Via, 2016: other>self(HC, 20female,mean=28.15,SD=8.62)
// Subjects=20
0	-70 	34
2	–62	36
8	–50	32
–52	–64	36
–46	–62	24
–38	–70	44
56	–62	36
60	–58	28
52	–56	28
64	–12	–10
60	–14	–22
60	–20	–8
–58	–40	–12
–60	–32	–10
10	46	38
0	46 	44
–10	42	38
-18	22	48
20	34	40
20	28	52
22	26	40
–42	14	34
10	52	8
–58	–16	–14
60	–6	4
26	58	12
18	58	16

// Via, 2016: other>self (AN, 20female,mean=28.4,SD=9.3)
// Subjects=20
8	–54	20
6	–62	22
–50	–68	40
–46	–62	24
–54	–62	26
56	–62	36
60	–58	28
60	–10	–22
64	–14	–16
20	38	42
20	28	52
–18	34	44
–20	26	38
10	58	24
10	46	38
8	58	2
–10	42	40
–8	50	32
–4	34	46

// Via, 2016: AN>HC(All, 40female)
// Subjects=40
6	–48	36
0	–34	44
–4	–34	34
0	–60	42

// Via, 2016: self>other(HC, 20female,mean=28.15,SD=8.62)
// Standardized name for contrast: self>stranger
// Subjects=20
-50	-70	30

// Via, 2016: other>self(HC, 20female,mean=28.15,SD=8.62)
// Subjects=20
4	46	4
4	-62	44
-26	-50	52
62	-26	24
44	-62	-10

// Via, 2016: self>other(HC, 20female)
// Standardized name for contrast: self>stranger
// Subjects=20
24	38	40
24	20	48
30	30	42
56	-48	44
42	-52	48
50	-42	44
-40	-48	50
-28	-52	52
10	-66	48
12	-66	36
12	-74	38
32	-64	44
38	-58	50	
-46	-60	42
-38	-66	42
4	24	44
-4	22	42
42	-70	38
46	-72	24
44	-62	32
-40	-76	24
-34	-78	42
-34	-78	30
28	28	40
24	38	40
34	-72	42
42	-66	44
32	14	52
-24	6	50
-22	18	46
-28	26	48
26	34	40
44	-68	36
44	-64	28
58	-60	20
44	-66	44
34	-72	42
-46	-78	28
-34	-78	42
-38	-76	32
0	58	0
12	50	36
6	52	22
-20	22	46
-24	34	48
58	-14	-20
-60	-14	-18

// Via, 2016: other>self(HC, 20female)
// Subjects=20
-44	-24	4
-42	-10	0
-40	-16	8
-38	26	-4
-42	18	2
-50	22	-4
34	28	-8
46	8	-4
38	16	-6
54	-4	4
-50	-12	2
-50	-30	8
-42	-14	14
-40	22	4
-38	14	4
-44	14	-6
46	8	-8
46	22	-10
30	16	2
24	-24	-18
-4	-6	52
6	-2	50
-4	-14	54
-26	-18	-14
46	-66	-8
44	-76	-2
44	8	-8
34	26	0
38	12	0
-44	14	-6
-46	22	-6
-34	14	2
54	-4	4
-52	-18	10
-40	-10	0
-48	-22	2
-4	-2	52
0	16	48
-4	6	48
-54	10	24
-50	14	34
-38	-44	50
-30	-48	56
48	-76	-4
46	-66	-8
38	-76	0
-26	-16	-12
-24	-26	-12

// Via, 2016: other>self(AN, 20female)
// Subjects=20
12	-68	46
-44	22	-2
2	28	32
-60	-36	-4		
0	0	52
2	10	40
4	20	40
-62	-36	0
14	-74	34
14	-66	32
12	-66	40
0	0	52
2	8	44
4	22	38
-64	-36	0
-42	-48	50
8	30	28
2	26	34
12	-66	38

// Via, 2016: self>other(AN, 20female)
// Standardized name for contrast: self>stranger
// Subjects=20
18	-72	34
12	-70	44
26	26	38
-38	-78	24
-44	-74	20
-28	-78	30
42	-70	30
44	-62	32
44	-70	20
38	-60	44
34	-66	40
28	28	40
44	-70	28
44	-62	32
58	-56	20
-42	-82	26
-42	-70	22

// Via, 2016: other>self(AN, 20female)
// Subjects=20
38	24	-10
46	24	-4
-34	26	-8
-46	22	8
-46	28	-4
56	-2	6
-46	-10	10
-52	-10	4
-50	-22	12
44	8	-8
38	22	-10
30	18	-2
-36	14	0
-44	14	-6
-34	26	-6
44	10	-8
46	14	0
38	12	0
-58	-16	8
-44	-22	10
-46	-10	6
58	-2	8
54	-10	6
-48	24	-6
-32	24	-4
-34	16	0
46	-68	-8
42	-76	-6

// Via, 2016: self>other(AN>HC, 40females)
// Standardized name for contrast: self>stranger
// Subjects=40
4	46	4

// Via, 2016: other>self(AN>HC, 40females)
// Subjects=40
-60	-36	0

// Via, 2016: self>other(HC>AN, 40females)
// Standardized name for contrast: self>stranger
// Subjects=40
34	-62	48

// Via, 2016: self>other(AN>HC, 40females)
// Standardized name for contrast: self>stranger
// Subjects=40
-2	-80	40
-12	-78	32
-10	-40	70
6	-44	68
-14	-48	42

// Via, 2016: other>self(AN>HC, 40females)
// Subjects=40
-2	-80	40
0	-60	42
